codePostaux;codeCommune;nomCommune;libelleAcheminement;Id
10200;10002;Ailleville;AILLEVILLE;1
10160;10003;Aix-Villemaur-Pâlis;AIX-VILLEMAUR-PALIS;2
10190;10003;Aix-Villemaur-Pâlis;AIX-VILLEMAUR-PALIS;3
10700;10004;Allibaudières;ALLIBAUDIERES;4
10140;10005;Amance;AMANCE;5
10700;10006;Arcis-sur-Aube;ARCIS SUR AUBE;6
10200;10007;Arconville;ARCONVILLE;7
10140;10008;Argançon;ARGANCON;8
10340;10009;Arrelles;ARRELLES;9
10330;10010;Arrembécourt;ARREMBECOURT;10
10200;10011;Arrentières;ARRENTIERES;11
10200;10012;Arsonval;ARSONVAL;12
10320;10013;Assenay;ASSENAY;13
10220;10014;Assencières;ASSENCIERES;14
10150;10015;Aubeterre;AUBETERRE;15
10240;10017;Aulnay;AULNAY;16
10130;10018;Auxon;AUXON;17
10220;10019;Val-d'Auzon;VAL D AUZON;18
10400;10020;Avant-lès-Marcilly;AVANT LES MARCILLY;19
10240;10021;Avant-lès-Ramerupt;AVANT LES RAMERUPT;20
10340;10022;Avirey-Lingey;AVIREY LINGEY;21
10290;10023;Avon-la-Pèze;AVON LA PEZE;22
10130;10024;Avreuil;AVREUIL;23
10340;10025;Bagneux-la-Fosse;BAGNEUX LA FOSSE;24
10330;10026;Bailly-le-Franc;BAILLY LE FRANC;25
10330;10027;Balignicourt;BALIGNICOURT;26
10210;10028;Balnot-la-Grange;BALNOT LA GRANGE;27
10110;10029;Balnot-sur-Laignes;BALNOT SUR LAIGNES;28
10600;10030;Barberey-Saint-Sulpice;BARBEREY SAINT SULPICE;29
10400;10031;Barbuise;BARBUISE;30
10200;10032;Baroville;BAROVILLE;31
10200;10033;Bar-sur-Aube;BAR SUR AUBE;32
10110;10034;Bar-sur-Seine;BAR SUR SEINE;33
10310;10035;Bayel;BAYEL;34
10190;10037;Bercenay-en-Othe;BERCENAY EN OTHE;35
10290;10038;Bercenay-le-Hayer;BERCENAY LE HAYER;36
10200;10039;Bergères;BERGERES;37
10130;10040;Bernon;BERNON;38
10110;10041;Bertignolles;BERTIGNOLLES;39
10160;10042;Bérulle;BERULLE;40
10170;10043;Bessy;BESSY;41
10500;10044;Bétignicourt;BETIGNICOURT;42
10140;10045;Beurey;BEUREY;43
10500;10046;Blaincourt-sur-Aube;BLAINCOURT SUR AUBE;44
10500;10047;Blignicourt;BLIGNICOURT;45
10200;10048;Bligny;BLIGNY;46
10800;10049;Les Bordes-Aumont;LES BORDES AUMONT;47
10140;10050;Bossancourt;BOSSANCOURT;48
10320;10051;Bouilly;BOUILLY;49
10380;10052;Boulages;BOULAGES;50
10270;10053;Bouranton;BOURANTON;51
10290;10054;Bourdenay;BOURDENAY;52
10110;10055;Bourguignons;BOURGUIGNONS;53
10220;10056;Bouy-Luxembourg;BOUY LUXEMBOURG;54
10400;10057;Bouy-sur-Orvin;BOUY SUR ORVIN;55
10340;10058;Bragelogne-Beauvoir;BRAGELOGNE-BEAUVOIR;56
10500;10059;Braux;BRAUX;57
10450;10060;Bréviandes;BREVIANDES;58
10220;10061;Brévonnes;BREVONNES;59
10140;10062;Briel-sur-Barse;BRIEL SUR BARSE;60
10500;10063;Brienne-la-Vieille;BRIENNE LA VIEILLE;61
10500;10064;Brienne-le-Château;BRIENNE LE CHATEAU;62
10240;10065;Brillecourt;BRILLECOURT;63
10190;10066;Bucey-en-Othe;BUCEY EN OTHE;64
10800;10067;Buchères;BUCHERES;65
10110;10068;Buxeuil;BUXEUIL;66
10110;10069;Buxières-sur-Arce;BUXIERES SUR ARCE;67
10110;10070;Celles-sur-Ource;CELLES SUR OURCE;68
10110;10071;Chacenay;CHACENAY;69
10500;10072;La Chaise;LA CHAISE;70
10500;10073;Chalette-sur-Voire;CHALETTE SUR VOIRE;71
10130;10074;Chamoy;CHAMOY;72
10700;10075;Champfleury;CHAMPFLEURY;73
10200;10076;Champignol-lez-Mondeville;CHAMPIGNOL LEZ MONDEVILLE;74
10700;10077;Champigny-sur-Aube;CHAMPIGNY SUR AUBE;75
10140;10078;Champ-sur-Barse;CHAMP SUR BARSE;76
10340;10079;Channes;CHANNES;77
10210;10080;Chaource;CHAOURCE;78
10600;10081;La Chapelle-Saint-Luc;LA CHAPELLE ST LUC;79
10700;10082;Chapelle-Vallon;CHAPELLE VALLON;80
10260;10083;Chappes;CHAPPES;81
10150;10084;Charmont-sous-Barbuise;CHARMONT-SOUS-BARBUISE;82
10290;10085;Charmoy;CHARMOY;83
10380;10086;Charny-le-Bachot;CHARNY LE BACHOT;84
10210;10087;Chaserey;CHASEREY;85
10510;10089;Châtres;CHATRES;86
10170;10090;Chauchigny;CHAUCHIGNY;87
10240;10091;Chaudrey;CHAUDREY;88
10110;10092;Chauffour-lès-Bailly;CHAUFFOUR LES BAILLY;89
10500;10093;Chaumesnil;CHAUMESNIL;90
10330;10094;Chavanges;CHAVANGES;91
10700;10095;Le Chêne;LE CHENE;92
10190;10096;Chennegy;CHENNEGY;93
10110;10097;Chervey;CHERVEY;94
10210;10098;Chesley;CHESLEY;95
10130;10099;Chessy-les-Prés;CHESSY LES PRES;96
10390;10100;Clérey;CLEREY;97
10240;10101;Coclois;COCLOIS;98
10200;10102;Colombé-la-Fosse;COLOMBE LA FOSSE;99
10200;10103;Colombé-le-Sec;COLOMBE LE SEC;100
10800;10104;Cormost;CORMOST;101
10500;10105;Courcelles-sur-Voire;COURCELLES SUR VOIRE;102
10400;10106;Courceroy;COURCEROY;103
10130;10107;Coursan-en-Othe;COURSAN EN OTHE;104
10130;10108;Courtaoult;COURTAOULT;105
10260;10109;Courtenot;COURTENOT;106
10270;10110;Courteranges;COURTERANGES;107
10250;10111;Courteron;COURTERON;108
10210;10112;Coussegrey;COUSSEGREY;109
10200;10113;Couvignon;COUVIGNON;110
10100;10114;Crancey;CRANCEY;111
10150;10115;Creney-près-Troyes;CRENEY PRES TROYES;112
10320;10116;Crésantignes;CRESANTIGNES;113
10500;10117;Crespy-le-Neuf;CRESPY LE NEUF;114
10130;10118;Les Croûtes;LES CROUTES;115
10360;10119;Cunfin;CUNFIN;116
10210;10120;Cussangy;CUSSANGY;117
10240;10121;Dampierre;DAMPIERRE;118
10130;10122;Davrey;DAVREY;119
10500;10123;Dienville;DIENVILLE;120
10190;10124;Dierrey-Saint-Julien;DIERREY ST JULIEN;121
10190;10125;Dierrey-Saint-Pierre;DIERREY ST PIERRE;122
10200;10126;Dolancourt;DOLANCOURT;123
10240;10127;Dommartin-le-Coq;DOMMARTIN LE COQ;124
10330;10128;Donnement;DONNEMENT;125
10220;10129;Dosches;DOSCHES;126
10700;10130;Dosnon;DOSNON;127
10170;10131;Droupt-Saint-Basle;DROUPT SAINT BASLE;128
10170;10132;Droupt-Sainte-Marie;DROUPT SAINTE MARIE;129
10130;10133;Eaux-Puiseaux;EAUX PUISEAUX;130
10350;10134;Échemines;ECHEMINES;131
10200;10135;Éclance;ECLANCE;132
10110;10136;Éguilly-sous-Bois;EGUILLY SOUS BOIS;133
10200;10137;Engente;ENGENTE;134
10500;10138;Épagne;EPAGNE;135
10500;10139;Épothémont;EPOTHEMONT;136
10130;10140;Ervy-le-Châtel;ERVY LE CHATEL;137
10360;10141;Essoyes;ESSOYES;138
10190;10142;Estissac;ESTISSAC;139
10210;10143;Étourvy;ETOURVY;140
10170;10144;Étrelles-sur-Aube;ETRELLES SUR AUBE;141
10290;10145;Faux-Villecerf;FAUX VILLECERF;142
10290;10146;Fay-lès-Marcilly;FAY LES MARCILLY;143
10320;10147;Fays-la-Chapelle;FAYS LA CHAPELLE;144
10400;10148;Ferreux-Quincey;FERREUX-QUINCEY;145
10150;10149;Feuges;FEUGES;146
